id,full_equation,complexity,full_equation_tokens_hier,full_equation_token_ids
6253,m_2=ln(c+y_rms+R),3,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:m * UNKNOWN:_ * NUMBER:2 <MUL_END> = <MUL_START> IDENT:l * IDENT:n * <PAREN_START> <ADD_START> IDENT:c + <MUL_START> IDENT:y * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> + IDENT:R <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 21, 4, 9, 4, 29, 5, 14, 6, 30, 4, 22, 4, 18, 16, 42, 8, 6, 54, 4, 9, 4, 34, 4, 21, 4, 27, 5, 8, 46, 15, 17, 5, 12, 10]"
4685,F=log(4/3-c+b+n^n-phi_0)-exp(V-v_min^+-tau)-1/2-N_A-gamma_min*alpha*W+log(k+A_i+mu+w),5,<EXPR_START> <ASSIGN_START> IDENT:F = <ADD_START> <MUL_START> IDENT:l * IDENT:o * IDENT:g * <PAREN_START> <ADD_START> <MUL_START> NUMBER:4 / NUMBER:3 <MUL_END> - IDENT:c + IDENT:b + <POW_START> IDENT:n ^ IDENT:n <POW_END> - <MUL_START> IDENT:p * IDENT:h * IDENT:i * UNKNOWN:_ * NUMBER:0 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> - <MUL_START> IDENT:e * IDENT:x * IDENT:p * <PAREN_START> <ADD_START> IDENT:V - <MUL_START> IDENT:v * UNKNOWN:_ * IDENT:m * IDENT:i * <POW_START> IDENT:n ^ UNKNOWN:+ <POW_END> <MUL_END> - <MUL_START> IDENT:t * IDENT:a * IDENT:u <MUL_END> <ADD_END> <PAREN_END> <MUL_END> - <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> - <MUL_START> IDENT:N * UNKNOWN:_ * IDENT:A <MUL_END> - <MUL_START> IDENT:g * IDENT:a * IDENT:m * IDENT:m * IDENT:a * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n * IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a * IDENT:W <MUL_END> + <MUL_START> IDENT:l * IDENT:o * IDENT:g * <PAREN_START> <ADD_START> IDENT:k + <MUL_START> IDENT:A * UNKNOWN:_ * IDENT:i <MUL_END> + <MUL_START> IDENT:m * IDENT:u <MUL_END> + IDENT:w <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 61, 14, 16, 6, 30, 4, 45, 4, 36, 4, 18, 16, 6, 48, 23, 35, 5, 26, 42, 8, 44, 8, 32, 22, 33, 22, 31, 26, 6, 25, 4, 39, 4, 19, 4, 9, 4, 52, 5, 15, 17, 5, 26, 6, 28, 4, 40, 4, 25, 4, 18, 16, 53, 26, 6, 41, 4, 9, 4, 21, 4, 19, 4, 32, 22, 33, 78, 31, 5, 26, 6, 20, 4, 7, 4, 43, 5, 15, 17, 5, 26, 6, 37, 23, 29, 5, 26, 6, 72, 4, 9, 4, 47, 5, 26, 6, 36, 4, 7, 4, 21, 4, 21, 4, 7, 4, 9, 4, 21, 4, 19, 4, 22, 4, 7, 4, 30, 4, 25, 4, 39, 4, 7, 4, 65, 5, 8, 6, 30, 4, 45, 4, 36, 4, 18, 16, 66, 8, 6, 47, 4, 9, 4, 19, 5, 8, 6, 21, 4, 43, 5, 8, 74, 15, 17, 5, 15, 12, 10]"
1732,B=L^3,2,<EXPR_START> <ASSIGN_START> IDENT:B = <POW_START> IDENT:L ^ NUMBER:3 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 64, 14, 32, 50, 33, 35, 31, 12, 10]"
4743,b_net=tan(R-gamma),3,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:b * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> = <MUL_START> IDENT:t * IDENT:a * IDENT:n * <PAREN_START> <ADD_START> IDENT:R - <MUL_START> IDENT:g * IDENT:a * IDENT:m * IDENT:m * IDENT:a <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 44, 4, 9, 4, 22, 4, 28, 4, 20, 5, 14, 6, 20, 4, 7, 4, 22, 4, 18, 16, 46, 26, 6, 36, 4, 7, 4, 21, 4, 21, 4, 7, 5, 15, 17, 5, 12, 10]"
4522,z=(theta_0)/(2/3+z_2),2,<EXPR_START> <ASSIGN_START> IDENT:z = <MUL_START> <PAREN_START> <MUL_START> IDENT:t * IDENT:h * IDENT:e * IDENT:t * IDENT:a * UNKNOWN:_ * NUMBER:0 <MUL_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:z * UNKNOWN:_ * NUMBER:2 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 67, 14, 6, 18, 6, 20, 4, 39, 4, 28, 4, 20, 4, 7, 4, 9, 4, 52, 5, 17, 23, 18, 16, 6, 29, 23, 35, 5, 8, 6, 67, 4, 9, 4, 29, 5, 15, 17, 5, 12, 10]"
6341,g=lambda,1,<EXPR_START> <ASSIGN_START> IDENT:g = <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 36, 14, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 5, 12, 10]"
577,a=(B_net)/(Q),2,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> <PAREN_START> <MUL_START> IDENT:B * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> <PAREN_END> / <PAREN_START> IDENT:Q <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 18, 6, 64, 4, 9, 4, 22, 4, 28, 4, 20, 5, 17, 23, 18, 59, 17, 5, 12, 10]"
5203,I=sin(a_max+g),3,<EXPR_START> <ASSIGN_START> IDENT:I = <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <ADD_START> <MUL_START> IDENT:a * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x <MUL_END> + IDENT:g <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 63, 14, 6, 27, 4, 19, 4, 22, 4, 18, 16, 6, 7, 4, 9, 4, 21, 4, 7, 4, 40, 5, 8, 36, 15, 17, 5, 12, 10]"
6364,A_f=da/dx,4,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:A * UNKNOWN:_ * IDENT:f <MUL_END> = <MUL_START> IDENT:d * IDENT:a / IDENT:d * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 47, 4, 9, 4, 51, 5, 14, 6, 38, 4, 7, 23, 38, 4, 40, 5, 12, 10]"
440,B_i=2*phi_max*t+exp(pi+L_avg^+)-(c+I+P)^2+log(R+v-R),5,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:B * UNKNOWN:_ * IDENT:i <MUL_END> = <ADD_START> <MUL_START> NUMBER:2 * IDENT:p * IDENT:h * IDENT:i * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x * IDENT:t <MUL_END> + <MUL_START> IDENT:e * IDENT:x * IDENT:p * <PAREN_START> <ADD_START> <MUL_START> IDENT:p * IDENT:i <MUL_END> + <MUL_START> IDENT:L * UNKNOWN:_ * IDENT:a * IDENT:v * <POW_START> IDENT:g ^ UNKNOWN:+ <POW_END> <MUL_END> <ADD_END> <PAREN_END> <MUL_END> - <POW_START> <PAREN_START> <ADD_START> IDENT:c + IDENT:I + IDENT:P <ADD_END> <PAREN_END> ^ NUMBER:2 <POW_END> + <MUL_START> IDENT:l * IDENT:o * IDENT:g * <PAREN_START> <ADD_START> IDENT:R + IDENT:v - IDENT:R <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 64, 4, 9, 4, 19, 5, 14, 16, 6, 29, 4, 25, 4, 39, 4, 19, 4, 9, 4, 21, 4, 7, 4, 40, 4, 20, 5, 8, 6, 28, 4, 40, 4, 25, 4, 18, 16, 6, 25, 4, 19, 5, 8, 6, 50, 4, 9, 4, 7, 4, 41, 4, 32, 36, 33, 78, 31, 5, 15, 17, 5, 26, 32, 18, 16, 42, 8, 63, 8, 57, 15, 17, 33, 29, 31, 8, 6, 30, 4, 45, 4, 36, 4, 18, 16, 46, 8, 41, 26, 46, 15, 17, 5, 15, 12, 10]"
