split,tokenizer,file,row_id,token_len,eq_len,equation_preview
test,bpe,tokenized_test_bpe.csv,3125,43,126,R=s_net+F_2^n*phi+(k+E_min+u+Q)^1/2-(2-G-s*sigma-v_0^-)/(3+N_A+lambda_1^n-a_i^2)+(2+G+h_1+alpha_avg^3)/(4/3-h-m_f^circ-lambda)
test,bpe,tokenized_test_bpe.csv,5645,38,125,x=sum_n=1^N(2/3+pi+y_min+delta_i+delta_max)-(pi*x_rms*g+mu_avg)/(4+alpha_f)+(gamma_f+B_1*sigma_avg)/(T_rms)-1/2+A*P_i-A_net^3
test,bpe,tokenized_test_bpe.csv,10,37,103,I=2+G*y-t*I_2+sum_n=1^inf(pi+x+a_f+A_1)+(c*alpha_min^n+tau^circ)/(e*L)-(pi-E_max)/(h*T_net+A_min*W_max)
test,bpe,tokenized_test_bpe.csv,1680,37,112,B_0=exp(3+k+h+delta_max+d)+sum_n=0^inf(1+h+u+epsilon_0+A)-(pi-w*theta-r)/(c+d^**omega_max*s)-(4/3+G+u+a)/(r_min)
test,bpe,tokenized_test_bpe.csv,6800,35,115,p_min=(e+Q+psi^+)^-1-(4/3*N_A-delta+t-alpha)/(2+N_A+psi_avg)+int_a^b(1/3+c+T_max+V^2+phi_avg)dx+(4/3+N_A+theta^2)^2
test,bpe,tokenized_test_bpe.csv,855,34,91,g=1+I_2-u^n-b_i+(c_f-alpha*C)/(c-alpha+I^+)+(1/3+pi+c_max)^-1+(1+N_A-C*B^2)/(2*c+y_2-sigma)
test,bpe,tokenized_test_bpe.csv,8390,33,83,a=ln(1/2+x+P+F_avg)-(e-x_i+epsilon)/(2*R+v)-(c+p_2+A)^2-(2-I_0-s-z)/(3-c-u_2+L+F_1)
test,bpe,tokenized_test_bpe.csv,9625,33,96,P_1=(Q_0+gamma+r)^2-(1/3+r_2*Q_rms+P)/(c-d+omega*epsilon_rms)-sin(N_A-n_i^2)+(2+k+C+psi_max+R)^n
test,bpe,tokenized_test_bpe.csv,4785,32,83,h=(1/2+e+x_rms+c^circ)^n+tau_i^2+(A*gamma_i-phi_1)/(e-beta-y)+(R-s-E)/(v+A-delta_0)
test,bpe,tokenized_test_bpe.csv,9790,32,103,n_avg=(1/3+k*n_net^-1*v_f)/(G+z-Q_max)-(1-h_f)/(1/2*R-epsilon-mu+h_rms)-(c+I_i^circ+s_net+lambda_f)^1/2
