id,full_equation,complexity
1,x=Q,1
2,E_rms=(1-P)/(1+g_rms),2
3,L=sqrt(1/3-y),3
4,v=partialm/partialr,4
5,Q=1/3+e+psi+k*a+3*h-t^n,5
6,m=2/3*E,1
7,z=t^2,2
8,p_rms=exp(2/3*c+v*v_2),3
9,h=dC/dt,4
10,I=2+G*y-t*I_2+sum_n=1^inf(pi+x+a_f+A_1)+(c*alpha_min^n+tau^circ)/(e*L)-(pi-E_max)/(h*T_net+A_min*W_max),5
11,a=A,1
12,Q=A_1^3,2
13,Q=sin(3-N_A+c_2),3
14,g=partialh/partialr,4
15,E=1+pi*epsilon^-1-2*h*p_net*theta,5
16,T=x,1
17,g=F^n,2
18,v=log(2+k+n+beta_net),3
19,x=int_0^inf(3+gamma)dt,4
20,x_rms=(1+Q+T_f)^n+log(c+a_net+r+a_i)-R-V_i^-1+d*y_min^n,5
21,m=4+t,1
22,p=(E_f)/(c_rms),2
23,n_1=cos(1+z_max-r_rms),3
24,B=dF/dx,4
25,R=(2+G+C_max+B+psi_2)^n-theta_avg*omega*n_f+(h+C+m^3+t)^n-ln(e+L^-+v^3),5
26,y=1/3-lambda_rms,1
27,Q=(4/3+I_f)/(4/3*A),2
28,V=tan(sigma-h),3
29,n=int(pi+b^*+b_min+beta_i)dr,4
30,F=exp(beta+delta_1+T_2)-tan(R+d+m_0^circ)-(1-h*m_i)/(4*G-n_1-n_1)+(h+sigma_net^2)/(k-w_0^-),5
31,h=phi,1
32,Q_avg=(1/2+A_1)^3,2
33,L=log(R-z_max),3
34,C_f=sum_k=0^inf(N_A+A_avg+m+sigma),4
35,I=partialR/partialr-(g+sigma+u)^1/2+(4+R+T^*)^n+sin(4/3+k-v^3),5
36,E=C,1
37,p=(4+b)^3,2
38,V_min=log(2+h*h+P),3
39,P=dV/dx,4
40,p=sin(4*h-V_2*n_net-delta_avg)+(4/3+pi+x_0+omega_net)^n+(3+N_A+R_min+v_avg)^n,5
41,n=B_min,1
42,b=x^3,2
43,I_0=ln(4/3+pi+Q),3
44,V=int_a^b(h+n+d^3+t_2)dr,4
45,A_i=sum_k=1^N(c+Q_min)+(4/3+N_A+u+beta^n+sigma)^n+1-R+psi_2-a^circ,5
46,F=2/3-V,1
47,n=(1/3+beta)^3,2
48,x_avg=log(1/2+e+W_1+s),3
49,V_0=int(c+alpha)dt,4
50,a=sum_i=0^N(h+mu+F_avg^-1)-partialh/partialt+sqrt(4/3+delta+sigma^+),5
51,B=1+v_f,1
52,C_i=(3*W_0)/(a),2
53,E=tan(a-Q_f),3
54,V_max=da/dx,4
55,b_min=(G+p+omega+mu_1)^n-partialC/partialy+4/3-G-d-a*W-dB/dx,5
56,C=a_i,1
57,L=(2+a)/(1/3-c),2
58,a=sin(h+gamma),3
59,p=int(c+I_1+m+A)dr,4
60,a=e+w+psi+sqrt(4/3+N_A+P),5
61,T=1/3-theta,1
62,I=(2-phi_rms)/(4-s_min),2
63,g=tan(1/3+N_A+P_1),3
64,h=sum_j=1^inf(1/3+R+psi_min^2+B_max),4
65,A=(1/3+delta+gamma_net)^2-partialF/partialy,5
66,z=1/3+F,1
67,B=(m)/(2/3-t),2
68,V_net=sin(1+G+psi+theta),3
69,T=partialh/partialx,4
70,V=log(pi+h)+(r+tau)^-1-R*t_max+exp(k-lambda),5
71,p=alpha,1
72,V_i=(2+mu)^n,2
73,W_max=exp(3*I),3
74,E_1=dL/dt,4
75,y_net=partialn/partialy+sin(1/2+k+E+v+phi_1)+dL/dx+sqrt(c*s^circ),5
76,p=4/3-alpha_max,1
77,V=(1+phi)^3,2
78,v=tan(3+c+C_min+T),3
79,a=partialE/partialx,4
80,x=(h+v^-1+E)^1/2+int(3+c+R_net^-1)dV-(4+G+s+u_i+delta_avg)^1/2+dP/dx,5
81,x=gamma_rms,1
82,v=(V_1)/(4+z_min),2
83,g=ln(tau_2),3
84,E=sum_i=0^n(4/3+pi+m^+),4
85,V=exp(theta-delta)-4-c+psi^3*alpha-w,5
86,T=1/3*z,1
87,x=beta^n,2
88,P_avg=exp(N_A+B),3
89,W_max=dQ/dt,4
90,T=(pi+y*r_avg^+-y_avg)/(G-r)+G-theta_2*z+tan(1*c^-1-m-s)+log(k+s_net+a),5
91,a=b_1,1
92,T_avg=(1/2*v)/(s),2
93,L_max=exp(1/2+c+w+g_i),3
94,A=dQ/dx,4
95,C_1=exp(2/3*e-x_avg)+(3+c*w_0^-1-C)/(1/3*G*I^*)+3*c+psi_net,5
96,m=1/2*h_min,1
97,x=(1/2+A_min)^3,2
98,L=cos(V+tau),3
99,R_2=int_L^inf(G+A+b_min)dt,4
100,n=log(4/3+w+epsilon)-log(4/3-W^circ),5
101,m=gamma,1
102,Q=(1/2+omega_2)^2,2
103,g=log(4*R-a+T_avg),3
104,C_2=partialP/partialr,4
105,C_f=(4/3+G+m+d)^2-dT/dx-3*R+omega+(c+sigma+lambda_0)/(1/3-N_A*b-beta+omega_f),5
106,z=1/3*z,1
107,T=(2/3+V)^3,2
108,z=exp(Q_f+T),3
109,a=int(4+pi+d)dt,4
110,Q_2=ln(1/2*pi+phi)-(pi*v-B_0)/(1/3*beta^-1+w+p)-(4+c_rms+c_2^-+x_0)^3,5
111,B=1+phi,1
112,m=omega^n,2
113,b=exp(h*u),3
114,C=sum_j=1^N(2+k+delta^n),4
115,I=(4/3-s_avg+d+t_f)/(h*E*E*E_avg)+tan(R*P_rms+z^+)-(1-N_A*beta*L*Q^3)/(pi+h)-(2/3-h-T)/(1/3+k*C_rms),5
116,m=2/3+x_min,1
117,V=C_2^3,2
118,m=log(phi*s_1),3
119,a_0=dC/dx,4
120,a=sum_n=1^inf(k+F+p_avg^n)+(2/3+k+I^-+W_avg)^2+V^n+1-(R+A+omega+v_avg)^-1,5
121,P=1*a_1,1
122,m_min=(4*tau)/(a),2
123,y_avg=sin(1+Q+B),3
124,z=int_0^inf(3+alpha+c^-+delta)dr,4
125,x_1=ln(P)-(2+pi+h_net)^2-(1+m_net+tau_1)^1/2,5
126,g=3-P,1
127,m=(1/3-lambda_min)/(1/3-mu),2
128,p=ln(2/3+B_1+P),3
129,g_2=partialR/partialx,4
130,a=tan(s+W)+partialg/partialx-(h+alpha+T+V)^3,5
131,T=4/3+lambda,1
132,E=b_max^3,2
133,n=tan(4+c+x+sigma_net),3
134,p=dR/dx,4
135,B=(1*N_A-h*sigma^++omega)/(R-E*epsilon)+int_L^inf(z+delta_min^circ+r)dt+sum_k=0^N(c+m+P^-1)-sqrt(N_A+sigma+a_1+y_2^n),5
136,Q=L_2,1
137,P=lambda_avg^n,2
138,h=cos(2+c+x+p),3
139,A=dC/dt,4
140,B=log(1/2+e+T+p+w)-dh/dx-exp(3-N_A*T^2*z_avg),5
141,y=s,1
142,a=(L)/(delta_avg),2
143,Q=tan(1/3*pi+s-r),3
144,m=int_0^L(h+epsilon_net)dt,4
145,m=(3+G+delta^3+T_min^*)^n-(h*c-Q_min+mu_1)/(1/3*N_A-epsilon+P_avg)+sqrt(k+delta^circ+omega_0+t^-1)-ln(4+c+C^*+P_f+psi_2),5
146,x=F,1
147,a=(4/3+F_1)/(2/3-T),2
148,a_1=tan(c+omega+alpha),3
149,C=partialW/partialy,4
150,h=(epsilon_max^circ)/(4*A)-(1+G+alpha_i)^2-(mu*F_max)/(2/3-c*E*I^+),5
151,z=beta,1
152,E=V^3,2
153,B=tan(4*r),3
154,C=int(n)dr,4
155,E_f=1-R+alpha-delta_avg+sum_i=1^n(delta_1)-(c-a^+)/(x+a-v^2)-(1/2+N_A+a)^n,5
156,B=4+beta_i,1
157,F_0=(1+F_min)/(1/2-h),2
158,A_2=sin(R+a+P),3
159,I=int_L^b(1+c+B)dV,4
160,n=3-e+W-partialW/partialr,5
161,L=P,1
162,y=(V)/(c),2
163,y=sin(4+T),3
164,b_2=dR/dx,4
165,B=4-N_A+P_max-(2/3*R+m*z)/(pi*lambda_f+gamma-b),5
166,A=4/3-delta,1
167,T=(1+v_avg)^n,2
168,R_i=sin(pi+delta_min),3
169,R_2=sum_i=1^n(1/3+pi+sigma+V+v),4
170,p=dF/dt-sum_j=1^inf(1/3+k+m),5
171,a=c,1
172,n=(2/3+v_2)/(1/3-psi),2
173,V_f=cos(2/3*pi+theta),3
174,x=sum_k=1^n(x^3+tau_max),4
175,z=1*R-d+4+a+c*E^3-y+u_min^-1,5
176,n=d_rms,1
177,T=c^3,2
178,E=ln(4/3+h),3
179,V_avg=partialg/partialr,4
180,A_f=dP/dt+tan(G+Q),5
181,a=2/3-L,1
182,I=(4+C)^n,2
183,m=sin(c-g),3
184,a_min=sum_k=0^n(1/2+e+b),4
185,z=sin(e+delta_f^circ)+tan(pi+Q)+sin(4+Q_0+C^3)+(N_A*Q_net*g^+)/(1/3+c+C_min),5
186,p=a_f,1
187,R_rms=(2+m)^3,2
188,C=log(G+sigma*m),3
189,b_i=sum_k=0^N(pi+F+R_0+theta_f),4
190,R=tan(2/3-pi-psi_max*theta_f*u^circ)-(h+theta)^2,5
191,V=c,1
192,m=(L_avg)/(1/3+C_rms),2
193,V=exp(3+k+P+L_f),3
194,h_max=partialB/partialt,4
195,L_avg=int_0^L(omega)dx+(N_A+x_2)/(c-mu+h_2),5
196,C=c,1
197,A=(1/3+x_rms)/(F_i),2
198,z_f=sin(3+C_avg),3
199,a=dE/dt,4
200,A=(2/3+T)/(2*pi+mu+v)-G+sigma*mu,5
201,C=3*W,1
202,v=(g_rms)/(1/3+d),2
203,Q=exp(P_net+psi),3
204,b=partialp/partialr,4
205,V=1-k*x-a*phi+e*c_f^-*d_2,5
206,P=u_avg,1
207,P=(3+v)^3,2
208,L=exp(4+k+alpha_net+W),3
209,a=dE/dx,4
210,F=dA/dx-1/3-v-b,5
211,a=4/3+p_0,1
212,g=(1/2-gamma)/(1/3*v_avg),2
213,b=exp(2*L*z_f),3
214,R_0=dE/dt,4
215,v=(h*g_1*a_net)/(4/3+c*F+r_avg^-1)-k-b*sigma_f*y_avg^-1,5
216,z=1/3+gamma_i,1
217,C_max=(3*beta_max)/(1/3*u),2
218,h=sqrt(V+v),3
219,b_f=sum_k=1^N(1/2+a+lambda_rms^++A),4
220,g=(1+g_avg^circ+epsilon)^n-(e+R_1)^n-(G+y^2)^3+int_L^L(1/2+k+tau)dt,5
221,R=psi,1
222,R=(1+psi)^2,2
223,x=sin(e*I-B),3
224,I_avg=int_0^inf(k+P_2^2+mu+h_min^n)dV,4
225,y=I^3+ln(R+p+lambda+a_1)-int_L^b(e+s^2+u)dV,5
226,y=1/3+gamma_2,1
227,m=(2+h_max)^2,2
228,h_rms=cos(1/2+psi_0),3
229,b_rms=int_0^L(g_avg^circ)dt,4
230,V=(G+epsilon+x_2+A_min)^n+(4/3+G+gamma+P_2^n)^n,5
231,a=w_net,1
232,B=(1/2*beta)/(1/3-L_net),2
233,E=ln(omega+w),3
234,P=dR/dx,4
235,p_i=alpha_max^2+1/3*mu_f-delta-a^3,5
236,I=v_net,1
237,F=(E)/(R),2
238,C_1=ln(4/3-N_A+epsilon),3
239,p=sum_n=1^inf(1+c+n),4
240,a=N_A*n-V_2-(1/3*e*b)/(R+theta)-int(pi+phi+a_min+u_min)dx,5
241,b=B,1
242,Q=(F)/(b_max),2
243,h=ln(R*a_min-h),3
244,P=partialV/partialt,4
245,b_2=4/3*c*h-pi+V+pi*b_min*alpha^2-R_avg-(h-n_max*F_1^++z_min)/(2*G+gamma_max*Q^--c),5
246,Q=1/2-s_net,1
247,b=(4/3+t_0)^3,2
248,v=exp(k+z-F_f),3
