id,full_equation,complexity,full_equation_tokens_bpe,full_equation_token_ids
6253,m_2=ln(c+y_rms+R),3,m_2=ln(c+y_rms+R),"[656, 502, 275, 596, 765, 556, 404]"
4685,F=log(4/3-c+b+n^n-phi_0)-exp(V-v_min^+-tau)-1/2-N_A-gamma_min*alpha*W+log(k+A_i+mu+w),5,F=log(4/3-c+b+n^n-phi_0)-exp(V-v_min^+-tau)-1/2-N_A-gamma_min*alpha*W+log(k+A_i+mu+w),"[351, 277, 38, 596, 581, 669, 487, 691, 488, 49, 616, 427, 749, 450, 727, 52, 132, 385, 625, 541, 576, 111, 435, 655, 646, 317, 528, 667, 753]"
1732,B=L^3,2,B=L^3,"[328, 372, 467]"
4743,b_net=tan(R-gamma),3,b_net=tan(R-gamma),"[587, 315, 407, 626]"
4522,z=(theta_0)/(2/3+z_2),2,z=(theta_0)/(2/3+z_2),"[778, 731, 490, 160, 774, 503]"
6341,g=lambda,1,g=lambda,"[621, 648]"
577,a=(B_net)/(Q),2,a=(B_net)/(Q),"[564, 325, 547, 396]"
5203,I=sin(a_max+g),3,I=sin(a_max+g),"[362, 300, 558, 535, 618]"
6364,A_f=da/dx,4,A_f=da/dx,"[317, 516, 250]"
440,B_i=2*phi_max*t+exp(pi+L_avg^+)-(c+I+P)^2+log(R+v-R),5,B_i=2*phi_max*t+exp(pi+L_avg^+)-(c+I+P)^2+log(R+v-R),"[331, 183, 148, 691, 534, 723, 616, 696, 380, 446, 50, 596, 365, 386, 90, 655, 406, 742, 404]"
2751,W=lambda,1,W=lambda,"[437, 648]"
7488,x=cos(2+G+c_1+beta_f),3,x=cos(2+G+c_1+beta_f),"[756, 234, 150, 593, 499, 589, 517]"
5273,E=log(pi+W_rms+v_0),3,E=log(pi+W_rms+v_0),"[343, 278, 696, 432, 553, 122, 489]"
5654,x=int(psi_avg+lambda_rms+t_rms)dr,4,x=int(psi_avg+lambda_rms+t_rms)dr,"[756, 261, 698, 513, 648, 556, 721, 553, 107]"
